전체,살인,강도,절도,폭력,성폭력,주소,위도,경도,지구대,관할구역
2,1,1,2,2,3,서울 마포구 상암동 8-8,37.578416,126.893892,상암,"상암동, 성산동, 산52, 산53, 산54, 산55, 산56, 산57, 산58"
3,3,3,2,2,3,서울 마포구 성산동 602,37.568944,126.909003,월드컵,"성산1동, 중동, 성산2동, 서교동, 성미산로6길, 월드컵로20길, 잔다리로129, 상암동"
2,2,2,2,2,2,서울 마포구 연남동 373-20,37.560371,126.923748,연남,"연남동, 동교동, 동교로, 동교로23길, 동교로25길, 동교로27길, 동교로30길, 월드컵북로2길, 월드컵북로4길, 월드컵북로6길, 양화로19길, 양회로21길, 양회로23길, 연희로, 연회로1길"
4,2,2,2,3,4,서울 마포구 아현동 마포대로 195-1,37.552107,126.953974,공덕,"아현1동, 아현2동, 아현3동, 공덕1동, 공덕2동, 신공덕동"
3,2,1,2,3,4,서울 마포구 용강동 토정로31길 35,37.542674,126.943053,용강,"도화동, 용강동, 염리동, 토정동, 대흥동, 신수동, 백범로23, 백범로35, 백범로73, 백범로82, 백범로10길, 서강대길, 고산말6길"
4,2,4,3,2,5,서울 마포구 창전동 독막로22길 8,37.547499,126.929153,서강,"창전동, 상수동, 당인동, 신정동, 구수동, 하중동, 노고산동, 대흥동, 서교동, 대흥로, 대흥로21길, 대흥로25길, 대흥로27길, 고산길, 고산11길, 고산14길, 고산16길, 고산17길, 고산18길, 와우산로1길, 와우산로3길, 와우산로3안길, 와우산로5길, 와우산로7길, 와우산로10길, 와우산로11길, 와우산로13길, 와우산로14길, 와우산로22길, 와우산로24길, 와우산로26길, 와우산로30길, 와우산로32길, 와우산로38길, 와우산로39길, 어울마당로2길, 서강로9길, 서강로11길, 서강로13길, 서강로14길, 서강로16길, 서강로18길, 서강로20길"
5,4,5,4,4,5,서울 마포구 서교동 491,37.552095,126.913356,홍익,"서교동, 합정동, 동교동, 홍익로26, 홍익로6길"
3,1,3,2,3,3,서울 마포구 망원동 398-1,37.554551,126.902749,망원,"망원1동, 망원2동"
3,4,4,3,3,4,서울 영등포구 경인로 759,37.5135516,126.897605,문래,"문래동, 도림동, 영등포본동, 도신로29길, 도신로29아길, 영신로9길, 영신로9라길, 영신로1가길, 영신로1길, 영신로19길, 영신로9마길, 영신로9나길, 영신로9가길, 영신로11길, 영신로13길, 영신로15길, 영신로17길"
3,4,4,3,3,4,서울 영등포구 경인로102길 13,37.5153424,126.905712,영등포역,"영등포동, 영등포로60길33, 영등포로62길, 영등포로62길31, 영신로, 영신로8길, 영신로10길, 영신로11길, 영신로13길, 영신로15길, 영신로19길, 영신로20길, 신길로61-21, 신길로22-1, 신길로227, 신길로229, 신길로231-3, 신길로231-5, 신길로231-7, 신길로231-8, 신길로231-6, 신길로231-4, 신길로231, 신길로233, 신길로235, 신길로237, 신길로225, 신길로250, 신길로250-2, 신길로250-3, 신길로250-1, 신길로250-5, 신길로252, 신길로276, 신길로60길4, 신길로60나길9, 신길로61길, 신길로62길, 영등포동1가, 영등포동4가"
