Column1,새주소,지번주소,X,Y,콘텐츠 명,구명,상세정보 값 1
903,서울특별시 송파구 올림픽로 424 (방이동올림픽공원),서울특별시 송파구 방이동 88번지 올림픽공원 올림픽공원,127.1150513,37.52055538,올림픽공원 88호수 수변무대,송파구,공연장
904,서울특별시 마포구 와우산로25길 6 (서교동),서울특별시 마포구 서교동 338-10번지 웨스트브릿지,126.9260848,37.55361074,웨스트 브릿지,마포구,공연장
905,서울특별시 종로구 동숭길 74 (동숭동),서울특별시 종로구 동숭동 50-44번지,127.0042248,37.58154381,위로홀,종로구,공연장
906,서울특별시 서초구 방배로 178 (방배동유중아트센터),서울특별시 서초구 방배동 851-4번지 유중아트센터,126.992756,37.48949103,유중아트센터 유중아트홀,서초구,공연장
907,서울특별시 종로구 대학로12길 10 (동숭동),서울특별시 종로구 동숭동 1-64번지,127.0025804,37.58258656,이수스타홀,종로구,공연장
908,서울특별시 종로구 이화장길 58 (이화동),서울특별시 종로구 이화동 36-2번지,127.004618,37.57784619,이수아트홀,종로구,공연장
909,서울특별시 마포구 마포대로 12 (마포동한신빌딩),서울특별시 마포구 마포동 136-1번지 한신빌딩,126.9443051,37.53789359,이원아트홀,마포구,공연장
910,서울특별시 중구 정동길 26 (정동),서울특별시 중구 정동 32-1번지 심슨기념관,126.9710947,37.56640032,이화여고 100주년 기념관 화암홀,중구,공연장
911,서울특별시 종로구 대학로 128 (동숭동),서울특별시 종로구 동숭동 1-33번지,127.0021158,37.58265604,익스트림씨어터 1관,종로구,공연장
912,서울특별시 종로구 창경궁로 227 (명륜4가성우빌딩),서울특별시 종로구 명륜4가 198-3번지 성우빌딩,126.9977444,37.58237249,익스트림씨어터 3관,종로구,공연장
913,서울특별시 용산구 한남대로 98 (한남동일신빌딩이탈리아대사관),서울특별시 용산구 한남동 714번지 일신빌딩이탈리아대사관 이탈리아대사관,127.0053202,37.53720368,일신홀,용산구,공연장
915,서울특별시 마포구 잔다리로3길 7 (서교동),서울특별시 마포구 서교동 395-105번지,126.9190511,37.55140724,잭비님블,마포구,공연장
917,서울특별시 중구 을지로39길 40 (을지로6가구민회관),서울특별시 중구 을지로6가 18-14번지 구민회관,127.005461,37.56840432,중구 구민회관 대강당,중구,공연장
918,서울특별시 동작구 흑석로 84 (흑석동중앙대학교),서울특별시 동작구 흑석동 221번지 중앙대학교,126.9589533,37.50696843,중앙대학교 아트센터 루이스,동작구,공연장
919,서울특별시 동작구 흑석로 84 (흑석동중앙대학교),서울특별시 동작구 흑석동 221번지 중앙대학교,126.9589533,37.50696843,중앙대학교 아트센터 소극장,동작구,공연장
920,서울특별시 동작구 흑석로 84 (흑석동중앙대학교),서울특별시 동작구 흑석동 221번지 중앙대학교,126.9589533,37.50696843,중앙문화예술관 대극장(중앙대학교 아트센터 대극장),동작구,공연장
921,서울특별시 종로구 성균관로4길 42 (명륜2가),서울특별시 종로구 명륜2가 8-16번지,126.9997385,37.58479209,지즐 소극장,종로구,공연장
922,서울특별시 종로구 대학로11길 39 (명륜4가영성빌딩),서울특별시 종로구 명륜4가 163번지 영성빌딩,126.9994539,37.58235091,진건아트홀,종로구,공연장
923,서울특별시 종로구 돈화문로 94 (와룡동동원빌딩),서울특별시 종로구 와룡동 119-1번지 동원빌딩,126.9904127,37.57680301,창덕궁 소극장,종로구,공연장
924,서울특별시 종로구 청계천로 279 (종로6가),서울특별시 종로구 종로6가 289-3번지,127.0087451,37.57006118,창선당 콘서트홀,종로구,공연장
927,서울특별시 동작구 사당로 143 (사당동대한예수교장로회총회신학원),서울특별시 동작구 사당동 200-1번지 대한예수교장로회총회신학원,126.9663549,37.48852286,총신대학교 콘서트홀,동작구,공연장
928,서울특별시 종로구 이화장1길 24 (이화동),서울특별시 종로구 이화동 28-18번지,127.0057554,37.57743953,최일화 스튜디오,종로구,공연장
929,서울특별시 서대문구 북아현로11가길 7 (북아현동추계예술대학교),서울특별시 서대문구 북아현동 190-1번지 추계예술대학교,126.9549079,37.5623765,추계예술대학교 추계콘서트홀,서대문구,공연장
931,서울특별시 종로구 창경궁로 303 (혜화동),서울특별시 종로구 혜화동 37-1번지,127.0033165,37.58761314,키작은 소나무 극장,종로구,공연장
932,서울특별시 종로구 동숭길 72 (동숭동),서울특별시 종로구 동숭동 50-20번지,127.0042397,37.58146093,탑아트홀,종로구,공연장
933,서울특별시 마포구 독막로6길 27 (합정동),서울특별시 마포구 합정동 360-1번지,126.917184,37.54674857,퍼즐 인형 극장 (다락극장),마포구,공연장
934,서울특별시 서초구 반포대로 18 (서초동(주)KH바텍사옥),서울특별시 서초구 서초동 1451-51번지 (주)KH바텍사옥,127.0126245,37.48223419,페리지홀 & 갤러리,서초구,공연장
936,서울특별시 마포구 잔다리로3길 34 (서교동),서울특별시 마포구 서교동 395-174번지,126.9178791,37.55064976,폼텍 웍스홀,마포구,공연장
937,서울특별시 성북구 성북로26가길 14-1 (성북동),서울특별시 성북구 성북동  산 25-102번지,126.993988,37.59628488,푸른달극장,종로구,공연장
938,서울특별시 중구 정동길 9 (정동),서울특별시 중구 정동 17-1번지,126.9699576,37.56753035,프란치스코 교육회관 체칠리아홀,중구,공연장
939,서울특별시 종로구 대학로11길 38-11 (명륜4가),서울특별시 종로구 명륜4가 70-4번지,127.0003052,37.58253884,피카소 소극장 1관,종로구,공연장
940,서울특별시 종로구 대학로11길 38-11 (명륜4가),서울특별시 종로구 명륜4가 70-4번지,127.0003052,37.58253884,피카소 소극장 2관,종로구,공연장
941,서울특별시 송파구 올림픽로 300 (신천동),서울특별시 송파구 신천동 29번지,127.1040148,37.51419392,하드 록 카페 (HARD ROCK CAF?),송파구,공연장
942,서울특별시 종로구 창경궁로35길 17 (혜화동),서울특별시 종로구 혜화동 70-1번지,127.001617,37.58668402,한얼소극장,종로구,공연장
943,서울특별시 중구 장충단로 59 (장충동2가국립극장),서울특별시 중구 장충동2가  산 14-67번지 국립극장 국립극장,127.0000058,37.55174767,해오름 예술극장,종로구,공연장
944,서울특별시 성북구 동소문로20나길 27 (동선동1가),서울특별시 성북구 동선동1가 89번지,127.0181334,37.59244621,해우소 소극장,성북구,공연장
