지방청,경찰서,관서명,동,구분,주소,위도,경도
서울청,서울양천,신월2,양천구,치안센터,서울 양천구 신월로 224-5,37.5214738,126.8470078
서울청,서울양천,신월2,양천구,치안센터,서울 양천구 오목로5길 34,37.5246694,126.8400781
서울청,서울양천,신월5,양천구,치안센터,서울 양천구 가로공원로 101,37.5358891,126.8272239
서울청,서울송파,방이,송파구,치안센터,서울 송파구 백제고분로 392,37.5062421,127.1093155
서울청,서울송파,잠실,송파구,치안센터,서울 송파구 백제고분로 15길 5,37.5059838,127.0845984
서울청,서울송파,잠실,송파구,치안센터,서울 송파구 잠실로 51-29,37.5132358,127.094223
서울청,서울송파,삼전,송파구,치안센터,서울 송파구 백제고분로 37길 20,37.5035978,127.103875
서울청,서울송파,가락,송파구,치안센터,서울 송파구 오금로 46길 55,37.4931816,127.1323534
서울청,서울송파,가락,송파구,치안센터,서울 송파구 중대로 18,37.4899104,127.1110914
서울청,서울송파,문정,송파구,치안센터,서울 송파구 성남대로 1576,37.4705104,127.1270218
서울청,서울송파,마천,송파구,치안센터,서울 송파구 성내천로 43가길 14-1,37.4964299,127.1549758
서울청,서울송파,풍납,송파구,치안센터,서울 송파구 풍성로 25길 17,37.5350457,127.1204452
서울청,서울송파,신천,송파구,치안센터,서울 송파구 송파대로 567 지하1층,37.515194,127.0948475
서울청,서울노원,당현,노원구,치안센터,서울 노원구 공릉로 290,37.6332477,127.0724473
서울청,서울노원,당현,노원구,치안센터,서울 노원구 공릉로55길96,37.6319096,127.0675322
서울청,서울노원,월계,노원구,치안센터,서울 노원구 석계로 93,37.6227699,127.0614386
서울청,서울노원,월계,노원구,치안센터,서울 노원구 초안산로 2,37.6284424,127.0557345
서울청,서울노원,월게,노원구,치안센터,서울 노원구 마들로 55,37.6208266,127.0693132
서울청,서울노원,화랑,노원구,치안센터,서울 노원구 공릉로 189,37.6266702,127.0789004
서울청,서울노원,화랑,노원구,치안센터,서울 노원구 노원로1길2,37.6226007,127.0866095
서울청,서울노원,불암,노원구,치안센터,서울 노원구 중계로 139,37.6475992,127.0803723
서울청,서울노원,당고개,노원구,치안센터,서울 노원구 상계로35길29,37.6714323,127.0778361
서울청,서울노원,마들,노원구,치안센터,서울 노원구 동일로227길97,37.6666943,127.051538
서울청,서울노원,노원역,노원구,치안센터,서울 노원구 상계로 23길17,37.6587743,127.0685054
서울청,서울방배,남태령,서초구,치안센터,서울 서초구 방배로 40,37.4784015,126.9999842
