명칭,좌표주소,위도,경도,상세주소,상세내용
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 탑골로5가길 5,37.4531922,126.9118143,탑골로5가길 5,관리번호: T122
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 독산로41길 89,37.4571362,126.9014964,독산로41길 89,관리번호: T123
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 시흥대로61길 5,37.4540023,126.90023,시흥대로61길 5 길목호프,관리번호: T124
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 은행나무로10길 12-1,37.4503591,126.9063197,은행나무로10길 12-1,관리번호: T129
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 독산로50길,37.4620301,126.9092995,독산로50길 163-10 명성빌라 앞,관리번호: T130
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 시흥대로6길 35-25,37.4372283,126.9045932,시흥대로6길 35-25,관리번호: T131
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 탑골로4길 67,37.4505249,126.915022,탑골로4길 67 탑골식당 앞,관리번호: T132
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 시흥대로48길 13,37.4511413,126.9035077,시흥대로48길 13,관리번호: T133
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 독산로73길 10-34,37.4685742,126.9016128,독산로73길 10-34,관리번호: T134
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 독산로62길 3,37.4645478,126.9031084,독산로62길 3,관리번호: T136
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 시흥대로145길 11,37.4732152,126.8957837,시흥대로145길 11,관리번호: T137
쓰레기무단투기 CCTV,대한민국 서울특별시 금천구 두산로9가길 19-4,37.4727921,126.8915922,두산로9가길 19-4,관리번호: T138
공원방범 CCTV,대한민국 서울특별시 금천구 독산로54길 102-98,35.7083656,128.2549263,독산로54길 102-98 금천체육공원 관리사무소,관리번호: A101
공원방범 CCTV,대한민국 서울특별시 금천구 독산로54길 6,37.4632087,126.9072697,독산로54길 6,관리번호: A102
공원방범 CCTV,대한민국 서울특별시 금천구 가산동 234-29,36.4269583,127.3885725,무아래 어린이공원,관리번호: A103
공원방범 CCTV,대한민국 서울특별시 금천구 시흥대로149가길 6,37.4755747,126.8955477,시흥대로149가길 6,관리번호: A104
공원방범 CCTV,대한민국 서울특별시 금천구 독산동 1095-1,37.3550352,127.1064074,파랑새 어린이공원,관리번호: A105
공원방범 CCTV,대한민국 서울특별시 금천구 독산동 1088-2,36.4269583,127.3885725,한내로 55 참새 어린이공원,관리번호: A106
공원방범 CCTV,대한민국 서울특별시 금천구 독산동 1086 독산근린공원,37.463629,126.8842038,독산 근린공원,관리번호: A107
공원방범 CCTV,대한민국 서울특별시 관악구 신림동 무궁화어린이공원,37.4696846,126.9235054,무궁화 어린이공원,관리번호: A108
공원방범 CCTV,대한민국 서울특별시 금천구 독산동 시흥대로90길 60-3 무지개상상어린이공원,37.462935,126.9009522,시흥대로90길 60-3 무지개 어린이공원,관리번호: A109
공원방범 CCTV,대한민국 서울특별시 금천구 시흥대로86길 20,37.4601219,126.9002941,시흥대로86길 20,관리번호: A110
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로36길 33,37.4442955,126.9055875,시흥대로36길 33,관리번호: G129
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로36길 62,37.4432354,126.9064234,시흥대로36길 62,관리번호: G130
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로28길 58,37.4423258,126.9070491,시흥대로28길 58,관리번호: G131
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로24길 56,37.4412429,126.907457,시흥대로24길 56,관리번호: G132
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로36길 18-5,37.4436907,126.9052799,시흥대로36길 18-5,관리번호: G134
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로16길 20,37.4395852,126.905342,시흥대로16길 20,관리번호: G135
그린파킹 CCTV,대한민국 서울특별시 금천구 시흥대로32길 11,37.4427747,126.9052198,시흥대로32길 11,관리번호: G136
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로26길 14,37.4556845,126.9063405,독산로26길 14,관리번호: G137
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로32길 44,37.4580844,126.9076551,독산로32길 44,관리번호: G138
그린파킹 CCTV,대한민국 서울특별시 금천구 두산로9가길 19-3,37.4726346,126.8914125,두산로9가길 19-3,관리번호: G139
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로60길 40,37.4652099,126.9050318,독산로60길 40,관리번호: G140
그린파킹 CCTV,대한민국 서울특별시 금천구 독산로62길 43,37.4656845,126.9049107,독산로62길 43 주택앞,관리번호: G141
자전거도서관 CCTV,대한민국 서울특별시 금천구 범안로 1144,35.8284724,128.6552358,범안로 1144 독산역 자전거보관소,관리번호: BC105
자전거도서관 CCTV,대한민국 서울특별시 금천구 범안로 1144,37.4661275,126.8890454,금천구 범안로 1144,관리번호: BC106
방범 CCTV,대한민국 서울특별시 금천구 시흥대로28길 15,37.4424324,126.9047434,시흥대로28길 15,관리번호: P274
방범 CCTV,대한민국 서울특별시 금천구 시흥대로36길 18-13,37.4436397,126.9057067,시흥대로36길 18-13,관리번호: P275
방범 CCTV,대한민국 서울특별시 금천구 시흥대로105길 8,37.4652168,126.8968633,시흥대로105길 8,관리번호: P276
방범 CCTV,대한민국 서울특별시 금천구 시흥대로 473,37.4758971,126.8980461,시흥대로 473,관리번호: P277
방범 CCTV,대한민국 서울특별시 금천구 벚꽃로38길 5,37.4818785,126.8832991,벚꽃로38길 5,관리번호: P278
방범 CCTV,대한민국 서울특별시 금천구 가산로 147-7,37.4780024,126.8903915,가산로 147-7,관리번호: P279
방범 CCTV,대한민국 서울특별시 금천구 가산로5길 77,37.4736969,126.8904495,가산로5길 77,관리번호: P280
방범 CCTV,대한민국 서울특별시 금천구 가산로7길 103,37.4726618,126.8883642,가산로7길 103,관리번호: P281
방범 CCTV,대한민국 서울특별시 금천구 시흥대로 440,37.4728558,126.8988832,시흥대로 440,관리번호: P282-1
방범 CCTV,대한민국 서울특별시 금천구 벚꽃로44길 9,37.4826143,126.8831661,벚꽃로44길 9,관리번호: T125
방범 CCTV,대한민국 서울특별시 금천구 시흥대로151길 46,37.4764818,126.8965824,시흥대로151길 46,관리번호: T126
방범 CCTV,대한민국 서울특별시 금천구 독산로,37.4590357,126.9042265,독산로 107길 13 구룡공원 내,관리번호: T127
방범 CCTV,대한민국 서울특별시 금천구 독산로3길 19,37.4496839,126.9039494,독산로3길 19,관리번호: P160
방범 CCTV,대한민국 서울특별시 금천구 시흥대로39길 52-11,37.4471846,126.900488,시흥대로39길 52-11,관리번호: P161
방범 CCTV,대한민국 서울특별시 금천구 시흥대로2길 32,37.4345646,126.9051541,시흥대로2길 32,관리번호: P162
