No,관리기관명,카메라대수,위도,경도,지번주소,도로명주소
88,관악구청,1,37.48021998,126.9158269,서울특별시 관악구 신림동 산 197-31,서울특별시 관악구 난곡로58길 11
89,관악구청,1,37.49183062,126.9362613,서울특별시 관악구 봉천동 산 117,서울특별시 동작구 국사봉1길 235-14
90,관악구청,1,37.49202819,126.9402673,서울특별시 관악구 봉천동 산 103-3,서울특별시 관악구 국회단지길 144
91,관악구청,1,37.49312281,126.9453076,서울특별시 관악구 봉천동 1718-9,서울특별시 관악구 성현로 22
92,관악구청,1,37.47472773,126.9493561,서울특별시 관악구 봉천동 산 175-6,서울특별시 관악구 관악로5길 91-39
93,관악구청,1,37.47469864,126.9482464,서울특별시 관악구 봉천동 산 175-6,서울특별시 관악구 관악로5길 91-42
94,관악구청,1,37.47521741,126.9515644,서울특별시 관악구 봉천동 산 175-27,서울특별시 관악구 관악로5길 61
95,관악구청,1,37.47535786,126.9510767,서울특별시 관악구 봉천동 산 175-27,서울특별시 관악구 관악로5길 61
96,관악구청,1,37.47646946,126.9696306,서울특별시 관악구 봉천동 산 66-3,서울특별시 관악구 남부순환로251길 20-1
97,관악구청,1,37.47648687,126.9701338,서울특별시 관악구 봉천동 산 66-3,서울특별시 동작구 남부순환로255길 19-1
98,관악구청,1,37.4746172,126.9766191,서울특별시 관악구 남현동 1083-1,서울특별시 관악구 남현길 43
99,관악구청,1,37.46829727,126.9452017,서울특별시 관악구 신림동 210,서울특별시 관악구 신림로 23
100,관악구청,1,37.49161877,126.9412047,서울특별시 관악구 봉천동 산 103-61,서울특별시 관악구 국회단지길 144
101,관악구청,1,37.49132073,126.9410883,서울특별시 관악구 봉천동 산 103-61,서울특별시 관악구 국회단지27길 10
102,관악구청,1,37.49027227,126.9429346,서울특별시 관악구 봉천동 635-37,서울특별시 관악구 국회단지22길 9
103,관악구청,1,37.49017902,126.9433326,서울특별시 관악구 봉천동 635-37,서울특별시 관악구 국회단지22길 20
104,관악구청,1,37.48232389,126.9133282,서울특별시 관악구 신림동 539-14,서울특별시 관악구 조원로16가길 51
105,관악구청,1,37.4825213,126.9129966,서울특별시 관악구 신림동 539-14,서울특별시 관악구 조원로16가길 42
106,관악구청,1,37.47312226,126.91242,서울특별시 관악구 신림동 1685,서울특별시 관악구 미성10길 6
107,관악구청,1,37.46302346,126.9151922,서울특별시 관악구 신림동 675-1,서울특별시 관악구 난향길 77
108,관악구청,1,37.46269776,126.9153715,서울특별시 관악구 신림동 675-1,서울특별시 관악구 난향9길 8
109,관악구청,1,37.48189041,126.9240662,서울특별시 관악구 신림동 1642-21,서울특별시 관악구 남부순환로168길 22
110,관악구청,1,37.46844625,126.9365586,서울특별시 관악구 신림동 1542-1,서울특별시 관악구 신림로17길 57-1
111,관악구청,16,37.47201433,126.9596751,서울특별시 관악구 봉천동 산 48-4,서울특별시 관악구 낙성대로 77
112,관악구청,1,37.44241172,126.9653313,경기도 과천시 중앙동 85-1,경기도 과천시 자하동길 63
113,관악구청,1,37.45241416,126.9466631,서울특별시 관악구 신림동 산 56-2,
114,관악구청,1,37.45032292,126.9342377,서울특별시 관악구 신림동 산 56-2,
115,관악구청,1,37.46242012,126.9560942,서울특별시 관악구 봉천동 산 4-2,서울특별시 관악구 관악로 1
116,관악구청,1,37.47815974,126.9389661,서울특별시 관악구 신림동 94-252,서울특별시 관악구 쑥고개로3길 7
117,관악구청,1,37.49119516,126.9535998,서울특별시 동작구 상도동 산 57-64,서울특별시 동작구 상도로60길 52
118,관악구청,1,37.48869889,126.9335906,서울특별시 관악구 봉천동 662-122,서울특별시 관악구 봉천로19길 23-12
119,관악구청,1,37.46414404,126.9353063,서울특별시 관악구 신림동 255-258,서울특별시 관악구 대학14길 83-14
120,관악구청,1,37.47479894,126.9133708,서울특별시 관악구 신림동 746-32,서울특별시 관악구 미성8길 8
121,관악구청,1,37.47678062,126.9438504,서울특별시 관악구 봉천동 1555-16,서울특별시 관악구 쑥고개로16길 53
122,관악구청,1,37.4754572,126.9625381,서울특별시 관악구 봉천동 1709-14,서울특별시 관악구 낙성대역3길 6-22
123,관악구청,1,37.46575933,126.9238244,서울특별시 관악구 신림동 산 87-14,서울특별시 관악구 광신길 141
124,관악구청,1,37.46968859,126.9125745,서울특별시 관악구 신림동 산 117-1,서울특별시 관악구 문성로16다길 135
125,관악구청,1,37.4694056,126.9447193,서울특별시 관악구 신림동 225-30,서울특별시 관악구 신림로 41
126,관악구청,1,37.46896435,126.9442291,서울특별시 관악구 신림동 217-7,서울특별시 관악구 신림로3가길 10
127,관악구청,1,37.46797618,126.9399623,서울특별시 관악구 신림동 산 24-9,서울특별시 관악구 대학7길 36-9
128,관악구청,1,37.46786242,126.940353,서울특별시 관악구 신림동 산 24-9,서울특별시 관악구 대학7길 42-11
129,관악구청,1,37.47775617,126.9168432,서울특별시 관악구 신림동 산 197-3,서울특별시 관악구 난우길 58
130,관악구청,1,37.47768841,126.9188197,서울특별시 관악구 신림동 산 197-102,서울특별시 관악구 난우12길 35-2
131,관악구청,1,37.47772853,126.9197603,서울특별시 관악구 신림동 산 197-3,서울특별시 관악구 난우10가길 40
132,관악구청,1,37.48190677,126.9028852,서울특별시 관악구 신림동 1661-15,서울특별시 관악구 시흥대로164길 27
133,관악구청,1,37.47922047,126.9623883,서울특별시 관악구 봉천동 148-103,서울특별시 관악구 행운4길 55-8
134,관악구청,1,37.48509822,126.9395461,서울특별시 관악구 봉천동 942-29,서울특별시 관악구 봉천로31길 51
135,관악구청,1,37.46195671,126.9303319,서울특별시 관악구 신림동 321-5,서울특별시 관악구 원신길 260
136,관악구청,1,37.48019649,126.9141403,서울특별시 관악구 신림동 1493-1,서울특별시 관악구 난곡로63가길 21
137,관악구청,1,37.47403416,126.9152504,서울특별시 관악구 신림동 1563-56,서울특별시 관악구 미성5길 20-4
138,관악구청,1,37.47573517,126.9561031,서울특별시 관악구 봉천동 산 56-3,서울특별시 관악구 남부순환로234길 86
139,관악구청,1,37.46353082,126.948072,서울특별시 관악구 신림동 산 32-23,서울특별시 관악구 관악산나들길 66
140,관악구청,1,37.46575088,126.9172992,서울특별시 관악구 신림동 685-61,서울특별시 관악구 난곡로11길 40
141,관악구청,1,37.46319264,126.9337484,서울특별시 관악구 신림동 산 68-3,서울특별시 관악구 호암로18나길 42
142,관악구청,1,37.47782433,126.9553575,서울특별시 관악구 봉천동 1613-19,서울특별시 관악구 관악로12길 55
143,관악구청,1,37.47766896,126.9558175,서울특별시 관악구 봉천동 1613-19,서울특별시 관악구 관악로12길 62
144,관악구청,1,37.47774206,126.917656,서울특별시 관악구 신림동 산 197-3,서울특별시 관악구 난우16길 13-5
145,관악구청,1,37.45766012,126.9185619,서울특별시 관악구 신림동 산 103-2,서울특별시 관악구 난곡로 55
146,관악구청,1,37.45750048,126.9204326,서울특별시 관악구 신림동 산 102-12,서울특별시 관악구 난곡로 55
147,관악구청,1,37.47393166,126.9599771,서울특별시 관악구 봉천동 291-1,서울특별시 관악구 낙성대로3길 28
148,관악구청,1,37.47322103,126.9597055,서울특별시 관악구 봉천동 287,서울특별시 관악구 낙성대로3길 37
149,관악구청,1,37.4888039,126.9376048,서울특별시 관악구 봉천동 647-175,서울특별시 관악구 봉천로23바길 13-17
150,관악구청,1,37.46749117,126.9342243,서울특별시 관악구 신림동 1555-1,서울특별시 관악구 신림로23길 82
151,관악구청,1,37.4664775,126.9353036,서울특별시 관악구 신림동 254-256,서울특별시 관악구 호암로20길 85
152,관악구청,1,37.46644889,126.9218573,서울특별시 관악구 신림동 652-160,서울특별시 관악구 난곡로16길 22
153,관악구청,1,37.46520229,126.9208191,서울특별시 관악구 신림동 산 92-3,서울특별시 관악구 난곡로10길 12-12
154,관악구청,1,37.47103675,126.9724201,서울특별시 관악구 남현동 721-4,서울특별시 관악구 남부순환로260길 132
155,관악구청,1,37.47521586,126.9708827,서울특별시 관악구 남현동 산 55-5,서울특별시 관악구 인헌1길 55-13
156,관악구청,1,37.46800499,126.9769017,서울특별시 관악구 남현동 산 65,서울특별시 관악구 승방1길 109-80
157,관악구청,1,37.45652999,126.9471459,서울특별시 관악구 신림동 산 56-2,서울특별시 관악구 관악로 1
158,관악구청,1,37.45471388,126.948143,서울특별시 관악구 신림동 산 52,서울특별시 관악구 관악로 1
159,관악구청,1,37.49249498,126.9349524,서울특별시 관악구 봉천동 산 133-20,서울특별시 관악구 당곡2길 113
160,관악구청,1,37.49365953,126.9483376,,서울특별시 관악구 성현로 53
161,관악구청,1,37.49134873,126.9520835,서울특별시 관악구 봉천동 1712-6,서울특별시 관악구 성현로 91
162,관악구청,1,37.48135937,126.9346588,서울특별시 관악구 신림동 산 170-136,서울특별시 관악구 남부순환로194길 81-12
163,관악구청,1,37.49195145,126.9414535,서울특별시 관악구 봉천동 산 103-73,서울특별시 관악구 국회단지길 144
164,관악구청,1,37.46813193,126.9701989,서울특별시 관악구 봉천동 산 3-6,서울특별시 관악구 인헌길 169-6
165,관악구청,1,37.46815615,126.9693536,서울특별시 관악구 봉천동 산 17-3,서울특별시 관악구 인헌길 169-6
166,관악구청,1,37.48512642,126.9622429,서울특별시 동작구 사당동 산 32-126,서울특별시 관악구 관악로30길 46
167,관악구청,1,37.48147121,126.9366716,서울특별시 관악구 봉천동 산 149-8,서울특별시 관악구 장군봉길 72
168,관악구청,1,37.48116875,126.9413438,서울특별시 관악구 봉천동 1526-1,서울특별시 관악구 장군봉3길 32-4
169,관악구청,1,37.47893843,126.9390237,서울특별시 관악구 신림동 산 1-1,서울특별시 관악구 장군봉길 100
170,관악구청,1,37.48018588,126.9492618,서울특별시 관악구 봉천동 877-21,서울특별시 관악구 남부순환로216길 31
171,관악구청,1,37.47693819,126.9676934,서울특별시 관악구 봉천동 산 66-1,서울특별시 관악구 남부순환로247길 26
172,관악구청,1,37.47567532,126.9707322,서울특별시 동작구 사당동 산 55-2,서울특별시 동작구 남부순환로 2003
173,관악구청,1,37.48331417,126.9603182,서울특별시 관악구 봉천동 1728-1,서울특별시 관악구 행운9길 25
174,관악구청,1,37.48025556,126.9649666,서울특별시 동작구 사당동 산 32-130,서울특별시 관악구 솔밭로 28
175,관악구청,1,37.45886082,126.917401,서울특별시 관악구 신림동 산 105-11,서울특별시 관악구 난곡로 55
176,관악구청,1,37.45822172,126.9214658,서울특별시 관악구 신림동 1735,서울특별시 관악구 난곡로 55
177,관악구청,1,37.45926819,126.9222609,서울특별시 관악구 신림동 1735-12,서울특별시 관악구 난곡로 55
178,관악구청,1,37.46764592,126.913497,서울특별시 관악구 신림동 산 117-23,서울특별시 관악구 문성로16다길 133-69
179,관악구청,1,37.46831315,126.9638012,서울특별시 관악구 봉천동 산 29-4,서울특별시 관악구 낙성대로15길 56-51
180,관악구청,1,37.48161001,126.9381183,서울특별시 관악구 봉천동 1531-38,서울특별시 관악구 장군봉6길 21-5
181,관악구청,1,37.47081228,126.9592343,서울특별시 관악구 봉천동 232-2,서울특별시 관악구 낙성대로 77
182,관악구청,1,37.46802993,126.945548,서울특별시 관악구 신림동 210,서울특별시 관악구 신림로 23
183,관악구청,1,37.46832312,126.9454603,서울특별시 관악구 신림동 210,서울특별시 관악구 신림로 23
184,관악구청,1,37.47959612,126.9375368,서울특별시 관악구 봉천동 산 151-15,서울특별시 관악구 장군봉길 92-40
185,관악구청,1,37.47525139,126.9764479,서울특별시 관악구 남현동 1123,서울특별시 관악구 남부순환로266길 25
186,관악구청,1,37.47865536,126.9202411,서울특별시 관악구 신림동 산 191-16,서울특별시 관악구 법원단지5라길 35
187,관악구청,1,37.47843186,126.9186446,서울특별시 관악구 신림동 산 197-5,서울특별시 관악구 문성로 119
188,관악구청,1,37.48006474,126.9188779,서울특별시 관악구 신림동 1707-2,서울특별시 관악구 남부순환로156길 39
189,관악구청,1,37.46122913,126.9294463,서울특별시 관악구 신림동 산 83,서울특별시 관악구 원신9길 10
190,관악구청,1,37.47625089,126.9254312,서울특별시 관악구 신림동 산 159-44,서울특별시 관악구 법원단지길 156
191,관악구청,1,37.48947201,126.9390212,서울특별시 관악구 봉천동 산 104-1,서울특별시 관악구 국회단지13길 46
